Identifier,Site,Land_Use,Plot_Name,Subplot,Horizon,Soil_Moisture,Horizon_Depth,Bulk_Density,Soil_pH,total_C,total_N,Inorganic_P,C:N,C:P
MB182,Maliau Basin Conservation Area,Unlogged Forest,Belian,18,Organic,28.99,3.5,0.41,5.62,8.43,0.48,36.91,17.58,0.23
MB183,Maliau Basin Conservation Area,Unlogged Forest,Belian,18,Organic,28.6,3,0.28,5.87,7.18,0.52,29.8,13.91,0.24
MB184,Maliau Basin Conservation Area,Unlogged Forest,Belian,18,Organic,34.17,2,0.2,5.54,5.07,0.36,32.45,13.9,0.16
MB185,Maliau Basin Conservation Area,Unlogged Forest,Belian,18,Organic,38.75,3,0.17,5.65,4.54,0.34,17.62,13.21,0.26
MB221,Maliau Basin Conservation Area,Unlogged Forest,Belian,22,Organic,33.67,2.5,0.39,4.56,5.79,0.38,22,15.26,0.26
MB222,Maliau Basin Conservation Area,Unlogged Forest,Belian,22,Organic,18.96,2,0.69,4.92,4.99,0.35,27.37,14.34,0.18
MB223,Maliau Basin Conservation Area,Unlogged Forest,Belian,22,Organic,26.02,3.5,0.39,5.1,4.95,0.35,16.83,14.26,0.29
MB224,Maliau Basin Conservation Area,Unlogged Forest,Belian,22,Organic,33.1,3.5,0.29,5.6,3.47,0.28,43.05,12.21,0.08
MB225,Maliau Basin Conservation Area,Unlogged Forest,Belian,22,Organic,26.9,2.5,0.52,6.4,6.66,0.47,19.7,14.04,0.34
MS31,Maliau Basin Conservation Area,Unlogged Forest,Seraya,3,Organic,31.41,2,0.53,6.19,4.46,0.36,14.38,12.54,0.31
MS32,Maliau Basin Conservation Area,Unlogged Forest,Seraya,3,Organic,22.55,3.5,0.67,6.35,3.29,0.26,13.62,12.72,0.24
MS33,Maliau Basin Conservation Area,Unlogged Forest,Seraya,3,Organic,23.21,4,0.51,6.78,3.66,0.31,25.1,11.77,0.15
MS34,Maliau Basin Conservation Area,Unlogged Forest,Seraya,3,Organic,21.84,3,0.62,6.37,7.39,0.39,20.4,18.78,0.36
MS35,Maliau Basin Conservation Area,Unlogged Forest,Seraya,3,Organic,35.45,2.7,0.29,5.92,3.39,0.21,15.16,16.43,0.22
MS141,Maliau Basin Conservation Area,Unlogged Forest,Seraya,14,Organic,23.85,2.3,0.95,4.56,3.92,0.28,27.71,13.98,0.14
MS142,Maliau Basin Conservation Area,Unlogged Forest,Seraya,14,Organic,26.67,2,0.44,4.85,8.17,0.5,50.89,16.21,0.16
MS143,Maliau Basin Conservation Area,Unlogged Forest,Seraya,14,Organic,31.6,2.7,0.3,5.4,4.52,0.32,20.67,14.28,0.22
MS144,Maliau Basin Conservation Area,Unlogged Forest,Seraya,14,Organic,24.35,2,0.5,5.07,4.76,0.32,23.05,14.93,0.21
MS145,Maliau Basin Conservation Area,Unlogged Forest,Seraya,14,Organic,20.39,2,0.34,4.92,5.19,0.34,20.63,15.14,0.25
MS151,Maliau Basin Conservation Area,Unlogged Forest,Seraya,15,Organic,20.58,1,1.09,4.45,4.94,0.31,18.91,15.77,0.26
MS152,Maliau Basin Conservation Area,Unlogged Forest,Seraya,15,Organic,23.65,4.7,0.5,5.39,4.94,0.35,20.72,13.93,0.24
MS153,Maliau Basin Conservation Area,Unlogged Forest,Seraya,15,Organic,20.29,4.8,0.59,4.98,5.93,0.36,23.77,16.27,0.25
MS154,Maliau Basin Conservation Area,Unlogged Forest,Seraya,15,Organic,25,4,0.46,4.89,3.72,0.22,14.16,16.63,0.26
MS155,Maliau Basin Conservation Area,Unlogged Forest,Seraya,15,Organic,33.81,1.5,0.22,4.88,3.67,0.27,21.04,13.42,0.17
MS181,Maliau Basin Conservation Area,Unlogged Forest,Seraya,18,Organic,27.59,3,0.42,4.65,3.24,0.24,15,13.22,0.22
MS182,Maliau Basin Conservation Area,Unlogged Forest,Seraya,18,Organic,29.33,4.5,0.44,4.71,5.68,0.38,48.37,14.9,0.12
