ID,path,name,make,model,is_animal,date,time,mega,Marco,Marco_sub
DGFC_35,/var/home/akin/Untitled Folder/web_app/sep_pics/1/humans/image71.jpg,image71.jpg,RECONYX,PC800 PROFESSIONAL, Human,2015-08-05,09:47:54,"Human, prob = 0.999","Animal, prob =0.9992","warthog, prob =0.6948"
DGFC_36,/var/home/akin/Untitled Folder/web_app/sep_pics/1/humans/image72.jpg,image72.jpg,RECONYX,PC800 PROFESSIONAL, Human,2015-08-05,09:47:55,"Human, prob = 0.999","Animal, prob =0.9989","warthog, prob =0.5448"
DGFC_37,/var/home/akin/Untitled Folder/web_app/sep_pics/1/humans/image73.jpg,image73.jpg,RECONYX,PC800 PROFESSIONAL, Human,2015-08-05,09:48:06,"Human, prob = 0.999","Animal, prob =0.6971","HUMAN, prob =0.3304"
DGFC_38,/var/home/akin/Untitled Folder/web_app/sep_pics/1/humans/image74.jpg,image74.jpg,RECONYX,PC800 PROFESSIONAL, Human,2015-08-05,09:48:08,"Human, prob = 0.999","vehicle, prob =0.7532","monkeybaboon, prob =0.7221"
DGFC_39,/var/home/akin/Untitled Folder/web_app/sep_pics/1/humans/image75.jpg,image75.jpg,RECONYX,PC800 PROFESSIONAL, Human,2015-08-05,09:48:09,"Human, prob = 0.999","Animal, prob =0.6907","HUMAN, prob =0.8548"
DGFC_40,/var/home/akin/Untitled Folder/web_app/sep_pics/1/humans/image76.jpg,image76.jpg,RECONYX,PC800 PROFESSIONAL, Human,2015-08-05,09:48:10,"Human, prob = 0.999","Animal, prob =0.9891","HUMAN, prob =0.8133"
DGFC_41,/var/home/akin/Untitled Folder/web_app/sep_pics/1/humans/image77.jpg,image77.jpg,RECONYX,PC800 PROFESSIONAL, Human,2015-08-05,09:48:11,"Human, prob = 0.999","vehicle, prob =0.6846","HUMAN, prob =0.6286"
DGFC_42,/var/home/akin/Untitled Folder/web_app/sep_pics/1/humans/image78.jpg,image78.jpg,RECONYX,PC800 PROFESSIONAL, Human,2015-08-05,09:48:12,"Human, prob = 0.998","Animal, prob =0.9513","HUMAN, prob =0.6987"
DGFC_43,/var/home/akin/Untitled Folder/web_app/sep_pics/1/humans/image79.jpg,image79.jpg,RECONYX,PC800 PROFESSIONAL, Human,2015-08-05,09:48:13,"Human, prob = 0.998","Animal, prob =0.9243","warthog, prob =0.6316"
DGFC_44,/var/home/akin/Untitled Folder/web_app/sep_pics/1/humans/image80.jpg,image80.jpg,RECONYX,PC800 PROFESSIONAL, Human,2015-08-05,09:48:15,"Human, prob = 0.999","Animal, prob =0.8664","monkeybaboon, prob =0.4759"
DGFC_45,/var/home/akin/Untitled Folder/web_app/sep_pics/1/humans/image81.jpg,image81.jpg,RECONYX,PC800 PROFESSIONAL, Human,2015-08-05,09:48:16,"Human, prob = 0.998","vehicle, prob =0.6819","monkeybaboon, prob =0.8934"
DGFC_46,/var/home/akin/Untitled Folder/web_app/sep_pics/1/humans/image82.jpg,image82.jpg,RECONYX,PC800 PROFESSIONAL, Human,2015-08-05,09:48:18,"Human, prob = 0.999","vehicle, prob =0.9905","monkeybaboon, prob =0.5565"
DGFC_47,/var/home/akin/Untitled Folder/web_app/sep_pics/1/humans/image83.jpg,image83.jpg,RECONYX,PC800 PROFESSIONAL, Human,2015-08-05,09:48:19,"Human, prob = 0.999","vehicle, prob =0.9923","monkeybaboon, prob =0.5976"
DGFC_48,/var/home/akin/Untitled Folder/web_app/sep_pics/1/humans/anno_image67.jpg,anno_image67.jpg,RECONYX,PC800 PROFESSIONAL, Human,2015-08-05,09:47:48,"Human, prob = 0.999","vehicle, prob =0.8490","monkeybaboon, prob =0.3092"
